날짜,시간,국가,경제지표,실제,예상,이전,중요도
11.09 (Sat), 10:30,cn,생산자 물가지수(PPI) (전년비) Oct,,,-2.8%,중
11.09 (Sat), 03:00,us,베이커 휴즈 원유 시추기 가동건수 Nov/08,,,,하
11.09 (Sat), 03:00,us,베이커 휴즈 전체 시추기 가동건수 Nov/08,,,,하
11.09 (Sat), 02:00,us,WASDE 보고서 ,,,,하
11.09 (Sat), 00:00,us,미시건대 5년 기대 인플레이션 잠정치 Nov,,,,하
11.09 (Sat), 00:00,us,미시건대 기대 인플레이션 잠정치 Nov,,,,하
11.09 (Sat), 00:00,us,미시건대 경제현황 지수 잠정치 Nov,,,,하
11.09 (Sat), 00:00,us,미시건대 소비자 기대지수 잠정치 Nov,,,,하
11.09 (Sat), 00:00,us,미시건대 소비자 심리지수 잠정치 Nov,,,,상
11.08 (Fri), 18:00,cn,경상수지 잠정치 Q3,,,,중
11.08 (Fri), 09:01,gb,RICS 주택가격지수 Oct,,,,하
11.08 (Fri), 05:30,us,연준 대차대조표 Nov/6,,,,하
11.08 (Fri), 05:00,us,소비자 신용 변화 Sep,,,$8.93B,하
11.08 (Fri), 04:30,us,연준 기자 회견 ,,,,상
11.08 (Fri), 04:00,us,연준 기준금리 결정 ,,,5%,상
11.08 (Fri), 02:00,us,30년 만기 모기지 금리 Nov-06,,,,하
11.08 (Fri), 02:00,us,15년 만기 모기지 금리 Nov/06,,,,하
11.08 (Fri), 01:30,us,4주 만기 국채 입찰 ,,,,하
11.08 (Fri), 01:30,us,8주 만기 국채 입찰 ,,,,하
11.08 (Fri), 00:30,us,EIA 천연가스재고량 변화 Nov/01,,,,하
11.08 (Fri), 00:00,us,도매재고 (전월비) Sep,,,,하
11.07 (Thu), 23:00,us,중고차 가격 (전월비) Oct,,,-0.5%,하
11.07 (Thu), 23:00,us,중고차 가격 (전년비) Oct,,,-5.3%,하
11.07 (Thu), 22:30,us,신규 실업수당 신청건수 Nov/02,,,,중
11.07 (Thu), 22:30,us,실업수당 청구건수 4주 평균 Nov/02,,,,하
11.07 (Thu), 22:30,us,계속 실업수당 청구건수 Oct/26,,,,하
11.07 (Thu), 21:30,us,비농업 생산성 잠정치 (전분기비) Q3,,,2.5%,중
11.07 (Thu), 21:30,us,단위노동비용 잠정치 (전분기비) Q3,,,0.4%,중
11.07 (Thu), 21:00,gb,BOE MPC 표결 (금리인하) ,,,,중
11.07 (Thu), 21:00,gb,BOE MPC 표결 (금리인상) ,,,,중
11.07 (Thu), 21:00,gb,BOE MPC 표결 (금리동결) ,,,,중
11.07 (Thu), 21:00,gb,MPC 회의록 ,,,,중
11.07 (Thu), 21:00,gb,BOE 통화정책 보고서 ,,,,중
11.07 (Thu), 21:00,gb,BOE 기준금리 결정 ,,,,상
11.07 (Thu), 19:00,gb,BBA 모기지 금리 Oct,,,7.69%,하
11.07 (Thu), 17:00,cn,외환 보유고 Oct,,,$3.316T,하
11.07 (Thu), 16:00,gb,Halifax 주택가격지수(전년비) Oct,,,4.7%,중
11.07 (Thu), 16:00,gb,Halifax 주택가격지수(전월비) Oct,,,0.3%,중
11.07 (Thu), 12:00,cn,무역수지 Oct,,,,상
11.07 (Thu), 12:00,cn,수출액 (전년비) Oct,,,,중
11.07 (Thu), 12:00,cn,수입액 (전년비) Oct,,,,중
11.07 (Thu), 08:00,kr,경상수지 Sep,,,,하
11.07 (Thu), 03:00,us,30년물 채권 입찰 ,,,4.389%,중
11.07 (Thu), 01:30,us,17주 만기 국채 입찰 ,,,,하
11.07 (Thu), 00:30,us,EIA 가솔린 재고 변동 Nov/01,,,,중
11.07 (Thu), 00:30,us,EIA 난방유 재고 변동 Nov/01,,,,하
